Country Name,Country Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,,Year,Averafe Life Expectancy at Birth
"Egypt, Arab Rep.",EGY,68.007,68.308,68.564,68.402,68.613,68.779,68.977,69.128,69.319,69.48,69.664,69.88,70.085,70.052,70.415,70.483,70.844,71.302,71.367,71.358,70.99,70.221,70.159,,,
Euro area,EMU,78.19590911,78.54000408,78.63019248,78.65203407,79.22825851,79.37062691,79.80319619,80.04333649,80.24671361,80.45068796,80.69361667,81.17784684,81.1741477,81.45897312,81.88967541,81.51875355,81.90869028,81.8854775,82.00454189,82.28196281,81.49343123,81.59494697,81.70138411,,,
Eritrea,ERI,56.111,58.298,58.811,59.409,59.899,60.597,61.611,62.116,62.573,63.328,63.787,64.402,64.838,65.067,65.6,66.033,66.289,66.577,67.067,67.3,67.133,66.536,66.604,,,
Spain,ESP,78.96585366,79.36829268,79.56829268,79.6195122,79.87073171,80.17073171,80.82195122,80.87317073,81.17560976,81.47560976,81.62682927,82.47560976,82.42682927,83.07804878,83.22926829,82.83170732,83.32926829,83.28292683,83.43170732,83.83170732,82.33170732,83.22926829,83.08292683,,,
Estonia,EST,70.41707317,70.25853659,70.90487805,71.31707317,71.9097561,72.56829268,72.69146341,72.81463415,73.77073171,74.82439024,75.42926829,76.22926829,76.32682927,77.14146341,77.03414634,77.5902439,77.64146341,78.09268293,78.24390244,78.64634146,78.59512195,76.94390244,77.94390244,,,
Ethiopia,ETH,50.538,51.043,51.517,52.533,53.235,54.008,55.149,56.426,57.592,58.804,59.73,60.721,61.543,62.373,62.905,63.649,64.392,64.838,65.412,65.838,65.371,64.975,65.645,,,
European Union,EUU,77.07531688,77.42295017,77.5310033,77.589336,78.1144999,78.27142867,78.66801004,78.90181909,79.12529641,79.35763602,79.63003371,80.13874215,80.15765949,80.46479377,80.8719824,80.56843942,80.95129748,80.92820865,81.028729,81.31485796,80.45086913,80.31661323,80.80262111,,,
Fragile and conflict affected situations,FCS,55.50963932,55.72925522,56.14948005,56.41903645,56.66549866,57.05810557,57.54270914,58.00940645,58.01868743,59.06225345,59.30813819,59.96632784,60.16658424,60.46601389,60.70998736,61.01446364,61.29238036,61.65708441,61.97205153,62.26978074,61.76248699,61.25326574,61.7925883,,,
Finland,FIN,77.46585366,77.96585366,78.1195122,78.36829268,78.71463415,78.81707317,79.21463415,79.26341463,79.56829268,79.7195122,79.87073171,80.47073171,80.62682927,80.97560976,81.1804878,81.4804878,81.42926829,81.63170732,81.73414634,81.98292683,81.93170732,81.88536585,81.18780488,,,
Fiji,FJI,66.31,66.34,65.748,66.177,66.424,66.632,66.855,66.826,66.935,67.089,67.328,67.523,67.552,67.428,67.376,66.844,67.24,67.79,67.81,67.893,67.924,67.114,68.312,,,
France,FRA,79.05609756,79.15853659,79.26097561,79.11463415,80.16341463,80.16341463,80.81219512,81.11219512,81.21463415,81.41463415,81.66341463,82.11463415,81.96829268,82.2195122,82.7195122,82.32195122,82.57317073,82.57560976,82.67560976,82.82682927,82.17560976,82.32439024,82.22926829,,,
Faroe Islands,FRO,78.43658537,78.64146341,78.84390244,78.94390244,79.09268293,79.2902439,79.63902439,79.98780488,80.13658537,80.33658537,80.63658537,80.88780488,81.1902439,81.44146341,81.59268293,81.79268293,82.04390244,82.24390244,82.49512195,82.64634146,82.89756098,83.09756098,83.3,,,
"Micronesia, Fed. Sts.",FSM,69.769,70.479,69.46,70.76,70.838,70.884,71.093,71.06,71.137,71.112,71.233,71.318,71.398,71.499,71.529,71.408,71.595,71.467,71.318,71.077,70.674,70.71,70.925,,,
Gabon,GAB,61.069,61.27,61.292,61.671,61.838,61.959,62.375,62.618,63.083,63.303,63.898,64.045,64.587,64.776,64.974,65.46,65.802,66.189,66.306,66.603,66.531,65.821,65.694,,,
United Kingdom,GBR,77.74146341,77.99268293,78.14390244,78.44634146,78.74634146,79.04878049,79.24878049,79.44878049,79.6,80.05121951,80.40243902,80.95121951,80.90487805,81.00487805,81.30487805,80.95609756,81.15609756,81.25609756,81.25609756,81.40487805,80.35121951,80.7,82.05853659,,,
Georgia,GEO,69.575,69.606,70.024,70.333,70.567,71.13,71.394,71.568,71.332,71.95,72.128,72.39,72.412,72.628,73.099,73.297,73.569,73.57,73.341,73.47,72.765,71.694,71.587,,,
Ghana,GHA,58.195,58.107,58.608,59.111,59.191,59.76,59.988,60.224,60.49,60.946,61.157,61.652,62.081,62.42,63.045,63.175,63.89,64.013,64.122,64.74,64.114,63.795,63.945,,,
Gibraltar,GIB,81.37,81.087,80.26,79.694,80.948,81.442,80.393,78.514,80.13,81.243,80.958,81.871,83.366,80.55,81.882,80.427,81.702,81.83,82.154,82.363,82.198,79.329,82.83,,,
Guinea,GIN,52.479,52.662,53.278,53.678,54.117,54.632,55.108,55.553,56.044,56.348,56.72,57.019,57.406,57.791,57.886,58.134,58.763,59.109,59.349,59.72,59.327,58.892,58.985,,,
"Gambia, The",GMB,56.942,57.043,57.08,57.586,58.088,58.394,59.06,59.394,60.082,60.427,60.717,61.526,62.096,62.114,62.269,62.494,63.013,62.995,63.04,63.755,62.612,62.083,62.906,,,
Guinea-Bissau,GNB,50.121,50.445,50.986,51.405,52.15,52.249,53.371,54.155,54.646,55.541,56.23,56.967,57.69,58.232,58.61,59.128,59.674,60.066,60.502,60.882,59.999,59.652,59.861,,,
Equatorial Guinea,GNQ,53.226,53.636,54.085,54.581,55.036,55.464,56.046,56.54,57.074,57.431,57.878,58.412,58.865,59.224,59.595,60.103,60.479,60.821,61.191,61.644,60.708,60.594,61.19,,,
Greece,GRC,77.88780488,78.38780488,78.64146341,78.84146341,79.03902439,79.23902439,79.43902439,79.43902439,79.93902439,80.18780488,80.38780488,80.73170732,80.63414634,81.28536585,81.38536585,81.03658537,81.38780488,81.28780488,81.78780488,81.63902439,81.28780488,80.08292683,80.63658537,,,
Grenada,GRD,72.783,73.118,73.167,73.188,71.788,73.521,73.7,74.317,74.656,75.036,74.999,75.295,75.042,75.116,74.985,75.013,74.762,74.765,74.808,74.863,74.924,74.936,75.335,,,
Greenland,GRL,66.09902439,66.19658537,66.61170732,67.18170732,67.72634146,68.23512195,68.61658537,69.04829268,69.37,69.7795122,70.08073171,70.26487805,70.54634146,70.83853659,71.06097561,71.47902439,71.83853659,71.93219512,71.96756098,71.94439024,71.85073171,71.81390244,71.5404878,,,
Guatemala,GTM,67.446,67.946,68.386,68.797,69.165,69.168,69.812,70.1,70.356,70.641,70.878,71.177,71.463,71.728,71.964,72.103,72.355,72.551,72.726,73.129,71.797,69.237,68.674,,,
Guam,GUM,74.417,75.41,75.793,76.504,76.923,77.182,77.136,77.098,77.185,77.094,76.879,76.872,76.707,76.72,76.749,76.616,76.877,77.155,77.439,77.717,76.612,76.656,78.33,,,
Guyana,GUY,64.483,64.788,64.728,64.6,64.93,65.132,65.667,66.254,66.288,66.563,66.743,66.982,67.23,67.473,67.882,68.201,68.384,68.667,68.896,69.124,68.486,65.673,65.989,,,
High income,HIC,76.01643914,76.28390157,76.41055207,76.51774211,76.96072799,77.08178651,77.50981274,77.81994864,78.01258071,78.36567441,78.5533631,78.89188236,79.04351007,79.27338511,79.51833028,79.46670731,79.66119233,79.78272794,79.88722444,80.12703771,79.13325437,78.78839896,79.50211315,,,
"Hong Kong SAR, China",HKG,80.87317073,81.41926829,81.45219512,81.34341463,81.79926829,81.60902439,82.38487805,82.36682927,82.3404878,82.77512195,82.95756098,83.41195122,83.4502439,83.83121951,83.93560976,84.25268293,84.21146341,84.69560976,84.8697561,85.15585366,85.49634146,85.53268293,83.66097561,,,
Honduras,HND,68.662,69.006,69.366,69.507,69.796,70.104,70.261,70.376,70.441,70.911,71.088,71.439,71.734,71.963,72.259,72.487,72.588,72.692,72.814,72.881,71.462,70.123,70.728,,,
Heavily indebted poor countries (HIPC),HPC,52.66175412,53.13109921,53.62999652,54.22966888,54.74040928,55.40832282,56.23362067,56.88988799,57.50407019,58.2403117,58.57768857,59.4752204,60.07801762,60.64456075,61.14707309,61.61254773,62.16196194,62.54976047,62.94757595,63.33805695,62.76172018,62.3027854,62.84324626,,,
Croatia,HRV,72.80780488,74.51292683,74.71731707,74.61390244,75.5202439,75.24463415,75.83682927,75.70560976,75.91219512,76.16829268,76.47560976,76.77560976,76.92439024,77.12682927,77.47804878,77.27560976,78.02195122,77.82682927,78.07073171,78.42439024,77.72439024,76.42439024,77.57560976,,,
